RetekBrand,RetekEAN,RetekDEPT,RetekCLASS,RetekSUBCLASS,ProductModelDesc
26616,2100001310714,6802,15,2,Carregamento PrePago NOS
26616,2100001310875,6802,15,2,Carregamento PrePago NOS
26616,2100001310905,6802,15,2,Carregamento PrePago NOS
26616,2100001310929,6802,15,2,Carregamento PrePago NOS
